Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1862.0
FDW14,OUT017,1540.0
NCN55,OUT010,1858.0
FDQ58,OUT017,2558.0
FDY38,OUT027,5214.0
FDH56,OUT046,1942.0
FDL48,OUT018,574.0
FDC48,OUT027,2822.0
FDN33,OUT045,1494.0
FDA36,OUT017,3056.0
FDT44,OUT017,1974.0
FDQ56,OUT045,1302.0
NCC54,OUT019,1882.0
FDU11,OUT049,2070.0
DRL59,OUT013,892.0
FDM24,OUT049,2566.0
FDI57,OUT045,3074.0
DRC12,OUT018,2742.0
NCM42,OUT027,3218.0
FDA46,OUT010,1134.0
FDA31,OUT013,2800.0
NCJ31,OUT035,3874.0
FDG52,OUT046,822.0
NCL19,OUT019,386.0
FDS10,OUT035,3018.0
FDX22,OUT010,1446.0
NCF19,OUT035,910.0
NCE06,OUT046,2550.0
DRC27,OUT046,3878.0
FDE21,OUT035,2022.0
NCR42,OUT019,-1334.0
FDX51,OUT018,2838.0
NCR06,OUT018,390.0
FDU31,OUT027,4974.0
FDU59,OUT017,2686.0
FDR03,OUT027,4782.0
FDS49,OUT027,2798.0
FDD48,OUT010,-78.0
NCF18,OUT017,3088.0
NCD43,OUT027,3122.0
NCD54,OUT018,1958.0
FDY19,OUT010,-42.0
NCY54,OUT017,2788.0
NCL19,OUT018,1982.0
FDP23,OUT010,1526.0
FDC26,OUT013,1816.0
FDR14,OUT010,-1026.0
NCS41,OUT035,3018.0
FDF41,OUT035,4050.0
FDU34,OUT046,2022.0
DRH11,OUT046,958.0
FDM03,OUT013,1736.0
FDS31,OUT017,2996.0
FDJ20,OUT017,2074.0
FDV44,OUT027,4526.0
FDG02,OUT049,3118.0
FDA09,OUT013,2904.0
FDT04,OUT013,672.0
FDL58,OUT019,2314.0
FDE52,OUT045,1426.0
FDW12,OUT035,2498.0
FDL51,OUT017,3524.0
NCY42,OUT027,3714.0
FDR07,OUT017,1642.0
FDN40,OUT045,2350.0
FDB35,OUT027,2990.0
FDA22,OUT017,2714.0
NCL06,OUT046,4126.0
FDI35,OUT013,2912.0
NCW42,OUT045,3390.0
NCX06,OUT049,2950.0
FDC37,OUT027,3238.0
FDZ14,OUT018,1702.0
DRG49,OUT049,3974.0
NCG06,OUT045,3934.0
DRC36,OUT045,2710.0
FDV21,OUT019,102.0
FDB53,OUT046,2382.0
DRP47,OUT019,2086.0
FDA14,OUT013,2344.0
DRC24,OUT035,2574.0
FDW21,OUT018,1374.0
NCH29,OUT046,1566.0
FDU58,OUT013,3064.0
FDY27,OUT017,2906.0
FDV56,OUT035,1942.0
FDT59,OUT046,3678.0
FDB23,OUT046,3638.0
FDR49,OUT045,686.0
FDB03,OUT010,1914.0
FDN39,OUT045,2598.0
FDX02,OUT027,5022.0
FDQ16,OUT027,3230.0
FDU35,OUT018,1302.0
NCT29,OUT013,1948.0
FDZ27,OUT046,838.0
FDN57,OUT017,2326.0
FDA03,OUT018,2066.0
FDZ36,OUT045,2902.0
NCU05,OUT013,1308.0
FDT39,OUT018,2158.0
FDK60,OUT017,1684.0
FDZ25,OUT017,2818.0
FDG12,OUT046,2030.0
DRB01,OUT019,1158.0
NCC43,OUT027,5402.0
FDX13,OUT019,2062.0
FDM22,OUT049,1038.0
FDJ03,OUT027,2342.0
FDU14,OUT018,3650.0
FDB33,OUT010,626.0
FDP27,OUT046,3038.0
